comment,author,date,score
I come here to cope.,Kenj Jamo,2022-02-11T07:18:30Z,0.0
when your entire budget goes to the trailers and not the game,Israel Chavez Jr,2022-02-11T06:47:56Z,0.0
"We've been tricked,
We've been backstabbed
And we've been quite possibly, bamboozled",Alex Matraszek,2022-02-11T04:30:26Z,0.305
god it looked so promising,Sh3rri,2022-02-11T03:06:06Z,0.0
What the hell happened here?,The United V1nces of America,2022-02-11T02:48:59Z,0.535
"Man, this game is gonna be awesome!",Teutonic Nobility,2022-02-11T02:42:07Z,0.0
what happen,Orvy,2022-02-11T01:05:40Z,0.0
bro my trailer is lagging,fghjk as,2022-02-11T00:45:42Z,0.344
"This game needs update. Portal needs to be extended to have other Battlefield serie,  have more BC2 weapons and maps same goes for BF3, BF1942.",Mencey Sanchez,2022-02-10T23:26:49Z,0.201
What game is this?,Josh,2022-02-10T22:30:33Z,0.0
still an awesome trailer,UbixQ,2022-02-10T19:27:34Z,0.0
"How to play Battlefield 2042:

Open the Windows Start Bar
Choose Settings
Choose Apps
Choose Apps & Features
Select Battlefield 2042
Choose Uninstall

@Battlefield & @DICE : Make a joint remake of BF3 & BF4! This Game should never be existing within the Battlefield franchise. Battlefield Hardline was more of a Battlefield. How u guys hyping the Game is unreal.",tobi,2022-02-10T19:20:33Z,0.226
Money babk,Danny Fox,2022-02-10T18:53:22Z,0.0
"I'm honest, I don't want to follow his petition",PANDS GAMING,2022-02-10T18:37:37Z,0.106
FAKE,Miruemon,2022-02-10T17:06:49Z,1.0
give back our money's,KAPRAL,2022-02-10T15:17:32Z,0.0
"I'm still around, it's confusing I know but just 'like' to dislike. We all want to know the amount of dislikes right?",Dislike Button,2022-02-10T15:02:04Z,0.279
3:09 EA on their way to destroy another franchise,the_DOOT_slayer,2022-02-10T14:13:52Z,0.304
Never buy ea game,Kenny Mo,2022-02-10T14:06:05Z,0.0
give us our money back now!,JR,2022-02-10T12:25:57Z,0.0
JUST BROUGHT IT !AMAZING GAME !,Panos GP,2022-02-10T12:13:41Z,0.0
It’s just depressing tbh,ToxicSocks-,2022-02-10T08:57:25Z,0.464
I'd pay to see this movie.,Mircea Draculov,2022-02-10T08:16:38Z,0.219
"Lies, all lies. Game is worst game ive ever spent money on.",5ives,2022-02-10T07:09:23Z,0.519
"Sing with intonation:
Bla-bla-bla-bla-bla-bla
Bla-bla-bla-bla-bla-bla",Sancho Fedorov,2022-02-10T05:27:52Z,0.0
LIES!,Tortoise Crown,2022-02-10T05:11:13Z,1.0
"Cool trailer, can I get a refund?",Steady Fishing,2022-02-10T02:56:15Z,0.0
"Marketing team: uh... dear my fans, we made what you want.. I hope you guys like it..

Actual game developers: ""WeLL wEll Well, thAT waS FUn."" / ""I aM NOt ovErCONfiDeNt, juST beTTeR tHan eveRyONe eLSE."" / ""ThaT's iT? I'm rEADY foR RoUNds tWO.""",믈츠야리노,2022-02-10T00:48:25Z,0.042
How does it feel to be bamboozled?,cyclonejokeroniisama,2022-02-09T23:08:12Z,0.294
MY FAVORITE GAME !,Panos GP,2022-02-09T17:48:03Z,0.0
Everyone sign the petition to refund this scam of a game. Currently over 70k signatures,wos,2022-02-09T17:30:44Z,0.238
Man this was almost good...back to BF1,something something crotas end,2022-02-09T15:59:05Z,0.0
Maybe they should've spent more development time on the game itself and not the trailers,chaosXpert,2022-02-09T14:39:00Z,0.0
"Its funny they decided to focus on adding women to the game but not all the basic features the game needs to be playable. Absolutly trash management, asbolutly greedy company, its false advertisment and you should be in court paying fines and refunds.",Lako Zor,2022-02-09T13:43:43Z,0.064
i didn't even buy the game and i feel ripped off,apsitis1212,2022-02-09T12:15:45Z,0.0
How much development time did they waste on the tornado gimmick,B Dan,2022-02-09T09:56:27Z,0.219
"Well, i don't want buy this game",XulthanLee Ripper,2022-02-09T06:16:21Z,0.147
I wanted to play regular soliders,Manuel Barreto,2022-02-09T06:10:47Z,0.0
"Hey DICE you gave us the wrong copies, you gave us the Dev copies, we want the retail copies",LifeIsShørt,2022-02-09T04:27:42Z,0.145
"The devs should be fired, but the marketing team deserves the biggest raise you can give them",Tactual Oregon84,2022-02-09T03:19:21Z,0.126
BF2042 reveal trailer MEGA BUSTED!!!,marius katutis,2022-02-09T01:04:42Z,0.0
"Imagine gameplay was literally this.


duudee...",illrose,2022-02-09T00:46:34Z,0.0
It’s such a big shame that the trailers were better than the actual game.,DOOM Studios,2022-02-09T00:36:09Z,0.172
Pmdg the best!!!,HasanXO7,2022-02-08T19:56:18Z,0.0
"I'm convinced now that this trailer is actually from an alternate timeline, that mistakenly ended up in ours. This is from the ""Harambe Lives"" universe. We are witnessing a trailer for a Battlefield 2042 that never existed here.",AiRJacobs,2022-02-08T18:12:44Z,0.113
"So, we've all been fooled, huh?",byfo1991,2022-02-08T16:06:05Z,0.342
Please make THIS game,CD R,2022-02-08T07:39:47Z,0.0
OMG!,Smiley,2022-02-08T04:08:58Z,0.0
"Fake ad its like see the "" how mafia works"" cell phone android mobile games ads...",Master Jefe,2022-02-08T03:55:49Z,0.158
game didn't come out so hot but hey at least this trailer is still a banger,DrNoob,2022-02-08T03:03:44Z,0.0
"Wow, I'm honoured that BF 5 was better than this game",Jon Kyojin (거인 존),2022-02-08T01:58:54Z,0.0
"This game is not a Battlefield, it’s a joke !",Can Tanriverdi,2022-02-08T00:57:40Z,0.0
Why i buyed this game ? fk me  never spend my money again for another BF,Him Self,2022-02-07T23:05:00Z,0.0
"the worst game in the history of the company, a historical blunder",Alvaro MBS,2022-02-07T21:37:40Z,0.272
This game was nothing but hype and false advertisement!!!,Ivan Nerub,2022-02-07T19:50:26Z,0.0
"EA Market Cap $38.5 Billion

EA timescale after delayed launch for implementing a scoreboard: 6 months. SIX MONTHS. HALF A YEAR.",ruari2142 plays games,2022-02-07T17:26:55Z,0.087
Never ever underestimate Dice ability to disappoint,Marcus Maxentius Augustus,2022-02-07T15:07:54Z,0.248
Can’t wait for this game to come out in 2042,Snowyy.,2022-02-07T13:59:51Z,0.0
"The moment Mil-Slims were removed for cringy Operators, it was already a bad sign.",ShinJen,2022-02-07T09:10:13Z,0.212
if only the game was as awsome  as this trailer,k Bob,2022-02-07T08:23:45Z,0.0
This game had the potential to be the best BF ever...,Jackie,2022-02-07T07:51:15Z,0.0
Well this didn’t age well,Vivien Yu,2022-02-07T04:29:16Z,0.0
I came back to this months later to imagine what the game would of been like based on this release trailer. And to also dislike this video .,ProteusXF,2022-02-07T01:36:49Z,0.084
"The trailer was good, but the game himself not",LaittoDesign,2022-02-07T01:21:52Z,0.0
This game aged like milk 😂,Light Weight,2022-02-07T00:11:02Z,0.125
Welp.....,kylexwlsn,2022-02-06T21:04:59Z,0.0
ROBBED !!!,adi_ zero,2022-02-06T18:19:13Z,0.0
Biggest Scam in 2021,Mert Akbas,2022-02-06T14:34:51Z,0.552
What is the name of this game?,xxxcaution,2022-02-06T10:04:53Z,0.0
"Usually the game looks at least a tiny bit like the trailer, this is a trailer for a game we never got",Marty,2022-02-06T07:23:49Z,0.0
The trailer looks more realistic than the game,Raymond Pratt,2022-02-06T06:17:07Z,0.0
Real slick! These people sure know how to make a banging trailer!,Honey Trap,2022-02-05T23:59:26Z,0.0
Insanity.,Leff phield,2022-02-05T20:57:39Z,1.0
“Expect disappointment and you won’t be disappointed”,YouTube Recommendations,2022-02-05T20:34:51Z,0.355
"fans when this trailer first dropped: ""this is so awesome! definitely gonna be the best BF ever!!!""
EA to those same fans now: ""don't be sad, this is just how it works out sometimes""",rrramon,2022-02-05T17:40:36Z,0.0
5 months in and you guys have less players than any previous battlefield title. Hardline is a better game than this.. it’s amazing how quickly you guys have destroyed such an amazing game,Andrew Sullivan,2022-02-05T17:38:26Z,0.131
This 5 minute trailer has more content than the whole game.,DerT0bey,2022-02-05T17:01:30Z,0.0
"Looking back to see what could've been... But atleast I noticed the penguins at 1:44, so atleast that kinda made me happy.",Duncan Campbell,2022-02-05T14:28:25Z,0.0
"Remember this and Anthem, next time EA annouces new game",Marcin Wojtaszczyk,2022-02-05T13:51:51Z,0.0
1:48 never noticed before but why does a Military vehicle have Brake lights ??,Argue Kayes,2022-02-05T04:48:58Z,0.0
"man i wish this is how it turned out. not sure why i wished that because i knew it wouldn’t, but dice usually pulls things through like bfv and battlefront 2. we can only hope",sharkattack6670,2022-02-05T04:36:15Z,0.099
And its gone.,Ilja D.,2022-02-05T03:51:32Z,0.0
"Man, this had so much potential. Back to the older Battlefield's I go",typical person,2022-02-05T02:31:01Z,0.0
"I can’t believe I got excited for this game. Battlefield as a franchise is dead, this game is the proof. There will never be another good Battlefield game again.",Thiccboi Chungo,2022-02-04T21:18:00Z,0.311
"Don't be sad, this is just how it works out sometimes.",Adamz72,2022-02-04T20:30:37Z,0.0
"this trailer is too good, as for the game I can't speak.",Rivas,2022-02-04T19:04:43Z,0.0
Just hire the marketing team to make the game next time,Adam Wolf,2022-02-04T18:31:56Z,0.0
"The most accurate thing in this trailer is how often you'll be ran over randomly, especially at the beginning of the game",Sean,2022-02-04T17:58:10Z,0.0
All I see is lies and my money down the drain takes them 8 months in total for a DLC. Think about that for a second 8 months 🤔 😪 😕 wow just wow,Greg D,2022-02-04T13:36:00Z,0.112
Can you pet the dog?,ian kamau,2022-02-04T11:26:22Z,0.0
It had so much potential…,Master Chief,2022-02-04T09:50:39Z,0.0
*Look how they massacre my boy*,Charlie Lainez,2022-02-04T08:00:22Z,0.0
"Notice how in none of the trailers they introduce the specialists but made them look like ordinary soldiers using the abilities. It’s as if Dice knew it was a terrible idea but EA demanded it be included, so we don’t see one the reasons as to why this game is terrible.",Boy If you don’t,2022-02-04T07:55:42Z,0.171
Where are the exoskeletons it should have it . Another reason for a remake,Patrico Fritz,2022-02-04T05:31:20Z,0.0
This game is supposed to have 6th generation fighters,Patrico Fritz,2022-02-04T05:30:35Z,0.13
"This game is not how 2040s will be . No 6th generation fighters you had to screw up on that . M1A5 Abrams give me a gdamn break we will still have A3 or maybe A4 and that is if the U.S. doesn't get a new tank like the DLP .It doesn't even look worthy to be called A5 even Sep V3 is more advanced than it . Tanks will have 130 or 140 mm guns , ETC guns , and even starting to put railguns on them in the 2040s . Unmanned turrets . Laser weapons and no I am not joking or being full of it I am being serious it is happening . Like seriously who is their military advisory ? Where are the Active Protection Systems . There should be more horsepower and see through armor / 360 panoramic view . That is just mostly tanks .",Patrico Fritz,2022-02-04T04:42:12Z,0.103
Now everyone dislike these videos I disliked since I saw the trailer I want to see every like become a dislike . Ahh all this negative energy is too much okay I am going to calm down,Patrico Fritz,2022-02-04T04:16:54Z,0.244
Remake the game,Patrico Fritz,2022-02-04T04:15:35Z,0.0
This game is 🚮,Patrico Fritz,2022-02-04T04:15:15Z,0.0
I only came here to Kickstart My Heart.,Saad Nabil,2022-02-03T23:17:50Z,0.0
buy it in 2042,Adrián Jesús Heredia Rodríguez,2022-02-03T21:45:18Z,0.0
Coming here to switch my like button to dislike. Bye,xH4rDx,2022-02-03T16:07:11Z,0.198
i am still waiting for battlefield bad company 3,Trink,2022-02-03T13:56:13Z,0.466
"Dude that trick shot with the jet tho 
100/10",The Game Reaper,2022-02-03T12:08:57Z,0.13
who was here waiting i was here so fun,aariz rayyan,2022-02-03T10:25:38Z,0.0
"For all you wondering, THIS game releases in early summer, EA games will keep you informed as always,",jacob peña,2022-02-03T10:03:25Z,0.0
Frostbite engine is outdated 🤞,koch 8,2022-02-03T08:48:00Z,0.0
"3:13 The nostaligia of this moment makes me feel like a veteran. Caspian Border, BF3 - wow",moosesnWoop123,2022-02-03T07:14:38Z,0.0
This had me hyped… now I’m hyped on Hell Let Loose,Giggle Biscuit,2022-02-03T03:25:15Z,0.434
"If the game would be that good what the trailer showed us, the game would be probably one of the best Battlefield ever. Dice/EA why you wasted so must potential. Is it really that hard to copy BF3/BF4 with different maps? 😕😭",Max,2022-02-03T02:44:50Z,0.218
"This is a scam, watch your money.",Luis Voronov,2022-02-03T01:59:57Z,0.381
This game proves that bigger is not always better.,roy shemtov,2022-02-02T22:18:55Z,0.231
The reason YouTube removed the dislike button,Areddishfish,2022-02-02T21:59:23Z,0.302
"Lol, now I know why they didn't use game engine footage as the trailer, because none of the animations and details in the trailer footage is even present in the gameplay. BOOO!!!",patrikmd,2022-02-02T19:59:37Z,0.0
"Take away your ""Like"" that you gave this trailer.",Harrison DuRant,2022-02-02T16:13:36Z,0.0
Wow what a joke this was. Rip battlefield 😢,anthony & dez mclaughlin,2022-02-02T13:26:10Z,0.322
"LIER

You betrayed my last trust and my childhood.",San Yen,2022-02-02T11:03:27Z,0.28
Maybe the marketing team should make a game instead of dice,DRAGYN-GEWD,2022-02-02T10:44:50Z,0.0
"So where is that game? ah, yes bugged, we must pay for it another 59.99€",Maldo96,2022-02-02T10:42:58Z,0.082
Sucks,ㅎ_ㅎ,2022-02-02T07:47:03Z,1.0
Dice remake the game,Patrico Fritz,2022-02-02T05:50:00Z,0.0
the worst thing I bought don't play it,KURKS7K,2022-02-02T04:25:18Z,0.506
When does THIS game comes out? I'm anxious here!,Kimido GC,2022-02-02T04:10:46Z,0.223
What have they done to you!? My sweet franchise,Glorious Crocodile Rex,2022-02-02T02:58:27Z,0.0
"You failed us Dice and EA...




again.",Ronel Dell,2022-02-02T01:32:33Z,0.355
well...,Voetsek,2022-02-02T01:11:40Z,0.0
"Oh, what could have been.",Jupiter,2022-02-01T22:39:00Z,0.0
This game aged like sour milk,Blue Cherry,2022-02-01T22:20:14Z,0.0
Trash,FiftySeven,2022-02-01T22:08:11Z,0.0
"""Wow that was something!, right?""",Bionic Biscuit,2022-02-01T22:04:31Z,0.0
"EA, DICE, WE WILL FORGIVE ALL YOUR FAILS IF YOU REMAKE BF2042 LIKE IT HAS TO BE...",Глеб Глухих,2022-02-01T21:24:45Z,0.131
"Back then: 1 year of 4 seasons, PAY ME 

Now: Season ONE just got relayed to early SUMMER",ObZ,2022-02-01T20:24:38Z,0.111
Battlefield 2 with a visual upgrade.,Shamkraffl,2022-02-01T19:09:45Z,0.342
You failed us DICE,The Slank Meister,2022-02-01T17:48:39Z,0.524
"I learned my lesson. Never pre order. And don't follow the hype. 75 euros down the drain. 
Dice and EA, thanks for destroying one of the best franchises. I was a big fan. But the fact that you managed to stop me playing bf is a miracle.",Johan Kamp,2022-02-01T16:38:08Z,0.087
"What we expected: Good soundtrack, actually feeling like war, no specialists, being a redemption arc for battlefield after battlefield V

What we got: ear piercing soun track, every match seeing billions of almost immortal hovercrafts climbing on buildings like spiderman, horrible specialists, attachments being cosmetics (exact same stat changes), actually even worse than bfv",peteromg,2022-02-01T14:09:34Z,0.245
And this is the real reason why YouTube got rid of the dislikes button...,SadCat,2022-02-01T10:51:40Z,0.172
Use me as dislike button,THICC-AMER,2022-02-01T05:17:19Z,0.394
Atleast cyberpunk openly made an apology and tried to fix the game when it came out…,Ok,2022-02-01T04:01:05Z,0.0
At least we know what WW3 would look like after 2035 with China....lol,DoctorGames101 (Main),2022-02-01T03:56:51Z,0.0
"the whole game feels like a beta trial, completely butchered this one i’m not gonna lie.",zach gavell,2022-02-01T02:22:43Z,0.0
Well this aged poorly,Anton.B,2022-01-31T23:37:09Z,0.0
BattleFaild,The MarLboroLight,2022-01-31T21:55:57Z,0.0
this is so sad,Pyro,2022-01-31T20:27:44Z,0.571
"1.1 million of likes, seems to be a good game, thanks YouTube!",Light Yagami,2022-01-31T18:47:24Z,0.0
Terrible game do not buy. Cyberpunk 2077 released better.,ruari2142 plays games,2022-01-31T18:12:52Z,0.238
Shout out to the players with the 4 wheeler thru the helicopter am I right?,GhostSniper743,2022-01-31T16:21:54Z,0.0
I came here to change the like to a dislike.,Hologas Supplier,2022-01-31T16:11:30Z,0.198
"Unironically, this trailer is the best part of the Battlefield 2042 game",CJ00014,2022-01-31T13:58:26Z,0.155
Sorry but you guys failed ^^,Sebastian Säbelrassler,2022-01-31T11:42:50Z,0.583
rip everyone who actually bought this,slluks,2022-01-31T10:19:15Z,0.0
Honestly feels like they made AI soldiers just for the reveal trailer so it didn’t seem like specialist where a thing,Icewall45,2022-01-31T09:59:09Z,0.0
When does THIS game release ?,Jonathan B.,2022-01-31T07:11:58Z,0.0
Disliked,euler's identity,2022-01-31T07:07:06Z,1.0
"dude, i already uninstalled origin together with all EA's Bullsh*t.",Oss hwss,2022-01-31T05:41:32Z,0.0
All i want is to be a normal soldier not a super agent,M Yusuf Sutan F,2022-01-31T05:20:59Z,0.204
Dice screwed it up again. Pathetic,Colt Stevo,2022-01-31T04:41:14Z,0.633
Man I remember when this trailer had me hyped!! Then the actual game came out…,billy20069,2022-01-31T02:20:23Z,0.0
Well this didn't age well. I stopped pre-ordering games after the failed launch of Gears of War 2. And I'll never buy a game based on a cinematic trailer. Actual game play or bust.,Anti Capital,2022-01-30T22:56:43Z,0.251
Spent more time making the trailer than the actual game,NickZick,2022-01-30T21:46:10Z,0.0
No,Sergi Sanz,2022-01-30T21:14:22Z,1.0
Please Dislike this video. TY,Havoc,2022-01-30T19:07:01Z,0.254
"I guess The Old Republic trailer vs game play didn't really teach us much about expectations, did it?",Joshua Newcombe,2022-01-30T17:41:03Z,0.0
1:43,GodZ,2022-01-30T17:26:24Z,0.0
I wanna see the dislikes so bad now,X-man,2022-01-30T17:14:53Z,0.545
Don't be sad this is how it works out sometimes.,sneakygundam,2022-01-30T16:50:38Z,0.0
"more pre-orders you buy = more developers dont care about final state of the game, community is guilty as well : C",JEŻ,2022-01-30T15:44:02Z,0.212
Just delete the game at this point it's embarrassing,Jay__Kaay,2022-01-30T14:53:50Z,0.245
scam,X,2022-01-30T08:35:01Z,1.0
Pain,E K,2022-01-30T06:28:27Z,1.0
"You were the chosen one.
It was said you would destroy incomplete games, not join them!",Deadringer,2022-01-30T06:20:02Z,0.289
Biggest disappointment of 2021,GOD,2022-01-30T02:14:18Z,0.524
"So they try to reel in everyone who wants a gritty battlefield game with this trailer and then they make the game for little kids that will buy their skins.. they lost the core fan base and didn’t get those kids they were after, lmfao. Good. Ea y’all suck at your jobs. Could have made sooo much more money. Look at how much bank modern warfare made with it’s more serious tone.  This is all aside from the fact that this game has very little guns, a lame gun customization, bad maps, and extremely laggy and buggy gameplay.. dude how are you going to have an fps thats clunky and non responsive?  Lol responsiveness is everything in fps",Findaway Towin,2022-01-29T21:54:12Z,0.144
This game is going to be siiiick!!!!,Mr. Wobble Waffle,2022-01-29T21:45:27Z,0.0
"If you know where the inspiration of the Jet-Scene is from, your a bf veteran",Alexandros IOS,2022-01-29T18:11:53Z,0.0
"This funny to read all this comments praising bf2042 before release, Like the battlefield is back and other nonsense, Battlefield of  fortnight play stlyle and grandma special forces with other 2020+ equality trands.... Well at  the end you got total trash of a game, no campaing  with price 69$. 
I knew this already after watching first time the trailer before release.
This battlefield game serious is dead long time ago after battlefield 4 release.",openSource,2022-01-29T17:38:45Z,0.219
"I just need battlefield 4 and 3 back when there's only men who fight, not woman moans",ali baghdadi,2022-01-29T15:10:25Z,0.252
Glad I didnt spend money on this 💀,James 丘,2022-01-29T14:16:11Z,0.0
"We didnt know, didnt we?",SonsOfBeaches,2022-01-29T12:15:27Z,0.0
Can you continue to add content for Battlefield V? Just a life long fan of the franchise asking here. Best regards,Siggis PlayTV,2022-01-29T12:10:29Z,0.096
Why are we here?? Just to suffer..??,FA7ALtheGOD,2022-01-29T11:49:28Z,0.426
"Don't be sad, this is just how it works out sometimes!",Pocky,2022-01-29T10:31:40Z,0.0
To all the people who thought this game was gonna be the best... we're yall now?,juju,2022-01-29T10:14:48Z,0.0
"1942
2042
2142",C.A. old,2022-01-29T09:46:12Z,0.0
"After mass effect andromeda, anthem and cyberpunk gamers still don’t learn",Demiurge,2022-01-29T07:16:53Z,0.0
Dislike button,Mahdista salman,2022-01-29T03:51:13Z,0.722
This game is a big flop just like just like Anthem which was also an EA game,Jupa Bafl,2022-01-29T02:59:19Z,0.112
"this trailer looks like it cost more than the money they spent on the actual game. TRASH/REFUND/CYBERPUNK TREATMENT SHOULD BE ISSUED. Hope you're entire company goes under after what you've done to everyone who supported all of your games for the last 20 years. Only eligible for refund if you play on PC. Console players are screwed over. ""Next generation of first person shooters"" More like next generation of con artist scams",Josh Gaspar,2022-01-28T23:40:27Z,0.082
"The hit damage on the official game modes are so unreasonably low that it's almost insulting. The enemies are literally taking barrage missle strike contacts and entire clips, for a single takedown and you can forget about headshots. Get a hard earned headshot and they'll just look at you and move out to cover for someone else to get an easy takedown credit. Why on earth would you make the weapons that weak? Where are the official hardcore modes for seasoned players?  Aim for realism but give no realism? Nothing is satisfying....I did not have fun",Me Burner Account,2022-01-28T23:31:27Z,0.205
So many regular classes shown in this trailer but when we actually got the game it was a hero shooter... They clearly made this advertisement what we wanted to see while they made the game something else.,Oliver,2022-01-28T16:41:24Z,0.0
that's the girl that uses so much make up that it's another person without it as a game,Kim Il Sung,2022-01-28T16:01:09Z,0.0
"Game is good and I enjoy it, not as good as BF1 or BF4, but I still have loads of fun. People complaining about map sizes need to equip a beacon, grab a vehicle, or Sundance your way to your location.",Axiom25,2022-01-28T15:35:24Z,0.081
The greatest thing about this game is that it makes me appreciate BFV even more !,Hamtaro,2022-01-28T13:42:04Z,0.0
"There are not that much Specialists in this trailer, noice",Elias Yıldıran,2022-01-28T13:08:41Z,0.0
I'm nor buying until I hear any change about Specialists and Map Design.,Bryce Hayes,2022-01-28T02:10:57Z,0.0
Can't believe I was hyped for this game.....Always next time I guess or else BF4 servers are always gonna be used,Robbie,2022-01-28T00:31:39Z,0.0
"So how many dislikes does this trailer have?
We will never know...











Definetly a lot",BETA,2022-01-27T23:08:42Z,0.175
WHAT A SCAM,BETA,2022-01-27T23:03:43Z,0.649
Do wingsuits magically appear?,turnupthesun81,2022-01-27T22:55:42Z,0.0
Rendezook!!!!!!! Stun_gravy!!!!,Oscar Delarhyme,2022-01-27T17:05:30Z,0.0
It's not even a year in and this game is already a -blast- bust!,Vel,2022-01-27T10:20:11Z,0.0
This game will come out in 2042 is what the real message was.,Angel Tovar,2022-01-27T07:24:22Z,0.0
It's so sad to see how hyped this game was before release and how excited millions were for its release to only find out that its becoming free to play because its such a dissapointment.. so sad that the trailer was the best thing about this game...,Andy Poutros,2022-01-27T07:19:51Z,0.122
Did they take the name off this video to make it hard to find without delisting it?,Moredread25,2022-01-27T03:43:15Z,0.08
whats the song to the jet part?,Luv,2022-01-27T01:34:07Z,0.0
(ESC) Continuevvvvvvvv ................................. Dont have to say anything more...,TheSilas,2022-01-26T23:25:37Z,0.0
"Yeah but a honest trailer would show blackscreens, fall through floor and GPU Driver shutdowns... Such a bug game...",TheSilas,2022-01-26T23:25:09Z,0.0
THIS GAME ISN'T BAD IT JUST NEEDS TWO MORE PATCHES.,Watda Frag,2022-01-26T21:43:06Z,0.0
This game was the biggest letdown,Im Errorz,2022-01-26T18:12:43Z,0.0
"""We've been tricked, we've been backstabbed and quite possibly bamboozled"".",Veteran of Vraks,2022-01-26T14:22:48Z,0.354
Don't be sad this is just how it works out sometimes,SamTheMan,2022-01-26T03:46:15Z,0.0
Trailer full 'o lies. BF2042 was the last EA game I will ever buy.,Josh Holmes,2022-01-26T01:39:10Z,0.177
Aged like milk,Kevin Otero,2022-01-26T00:47:24Z,0.0
THIS IS SO SAD!!!!,nerdsmag,2022-01-26T00:38:20Z,0.632
I see EA got inspired by the Cyberpunk 2077 launch and decided to follow in their footsteps.,EnsuredChaos,2022-01-25T22:56:08Z,0.0
"Throw this garbage game in the bin where it belongs. Complete joke, money hungry as$holes.",HERB Gaming,2022-01-25T22:24:05Z,0.0
"If the game had only the specialist skills, instead of the skins that make them look like clones of themselves, the game would have a big improvement.",Lima,2022-01-25T18:17:52Z,0.0
Most disappointing game I’ve ever played. Legitimately makes me sad.,melvin,2022-01-25T09:15:53Z,0.412
Astonishing that we went from this to what we have now...,Adam,2022-01-25T08:03:28Z,0.0
Can we agree that this is basically false advertising and EA should be sued for this?,swedish_leasuretime_shed,2022-01-25T07:37:21Z,0.0
Welp this aged like milk can’t believe I was excited for this,Noneanumix Blague,2022-01-25T06:39:13Z,0.0
I remember being all excited for this and watched it alot. Its a shame what happened.,6 Dee,2022-01-25T04:59:09Z,0.159
You have disappointed us DICE.,Do Young Park,2022-01-25T04:55:45Z,0.437
Am i the only one who likes this gsme,le monke,2022-01-25T02:51:16Z,0.0
Man.,BugattiBeefCake,2022-01-24T23:18:29Z,0.0
Cant wait for this to be free to play saving that dingo dolla 😎,BarbieOnCoke,2022-01-24T23:03:58Z,0.0
"When THIS Game come out, it is 2042",NoiceSchnidde,2022-01-24T22:43:22Z,0.0
awful game,Nico Wu,2022-01-24T21:08:30Z,0.75
"Why is DICE not listening to us? We don't want specialists and large flat maps where nothing is happening. We want a return to the Battlefield glory days. We want BF3 + BF4 as one big game with total map destruction. We want to be normal soldiers, not clowns with guns.",Joker,2022-01-24T19:13:53Z,0.132
WHO came back to this commentary section after he knew this game was bust?,Starkiller,2022-01-24T18:08:33Z,0.0
Yikes.,Bobot,2022-01-24T17:31:42Z,0.0
They had us on the first half ngl,The Voidwalker,2022-01-24T16:16:57Z,0.0
This game sucks,Magamed RAGADAIEV,2022-01-24T14:26:38Z,0.556
Dislike button :- here,A 22,2022-01-24T12:34:41Z,0.464
"Okay DICE good one, you got us, HA HA !
No but seriously when is the real game going to drop? :-)",GoJulian,2022-01-24T11:57:55Z,0.138
More of the budget went into the trailer than the actual game.,Octavia Autumn,2022-01-24T10:50:07Z,0.0
"I love this, all the people who hate this go to hell, don’t you agree!?",Tracy Moore,2022-01-24T08:44:43Z,0.327
Battlefield's back!!!,Edward Chen,2022-01-24T07:33:48Z,0.0
"Is level 5,000 and above a modded account?",jacob coffman,2022-01-24T04:34:53Z,0.0
this was a lie lol,Josh C,2022-01-24T01:32:17Z,0.0
We got the bad ending...,Hydrix64,2022-01-24T01:24:36Z,0.467
">f35
Grim",James Quinn,2022-01-23T21:16:45Z,0.787
"Me to vanguard after playing bf 2042:
Perhaps I treated you too harshly",Mr. Mohammed Abdullah,2022-01-23T17:55:04Z,0.0
"This game is so bad, even cheaters stopped their production of making cheats for the game. Mission successfully failed.",Tomato Zer0,2022-01-23T16:23:43Z,0.491
"""Fantastic...This was a huge waste of my time"" -Spy",Ultra Chad,2022-01-23T12:51:22Z,0.231
"best trailer, worst game... I want my money back",ThisIsMacDecon,2022-01-23T05:33:28Z,0.263
"How to make the worst battlefield game ever

- Throw out the unique, beloved, and time proven battlefield formula.
- implement a hero shooter formula instead
- go all in on skins and microtransactions at the expense of overall content.
- make sure the game is not competitive by removing the scoreboard and nerfing the point system.
- make sure people can't play on their favorite maps or select map size etc (no server browser).
- make sure people can't communicate with each other (no voip or all-chat)
-kill the immersion by making everyone look exactly the same, like clones, and add cringey voicelines on top just to make sure the immersion is really dead.
- make the maps too big and empty, with no destruction.
-make sure there are very few weapons and little customization options.
-dumb down wehicle mechanics so that there's no skill needed to operate them, and therefore also no reward associsted with mastering them.
- add tons of bugs",Hepsuuu,2022-01-23T04:51:12Z,0.174
That plane stunt was insane,DemiVibes,2022-01-23T04:02:44Z,0.403
It honestly saddens me that the Battlefield community is going through the same disappointment that the Cyberpunk community went through. The pain of waiting in anticipation only to be handed a poorly crafted and bug infested mess. I legitimately thought this game had massive potential but I learned the hard way from Cyberpunk that looks can be deceiving.,Ivan Enriquez,2022-01-23T03:44:00Z,0.217
It just feels sad watching this trailer now,HJC,2022-01-23T02:21:00Z,0.307
I'm happy I didn't waste my money on the gold edition when this trailer first came out,battlefield 4life,2022-01-22T22:32:15Z,0.0
Battlefield 20-42 fps,JudyAlvarezstan2074,2022-01-22T22:25:54Z,0.565
So don't be sad this is how it works some times,MR X,2022-01-22T22:25:44Z,0.0
